YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ADMINISTRATOR_FTE,ADMINISTRATOR_SALARY_AVERAGE,TEACHER_FTE,TEACHER_SALARY_AVG,TEACHER_SALARY_AVG_REG_TERM,TEACHER_AVERAGE_YEARS_EXP,TEACHER_MAST_DEGREE_PERCENT
2012,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,1.00,68145,10.00,48603,47907,15.6,20
2013,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,0.50,97110,9.76,49566,48839,16.6,19.9
2014,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,1.00,70384,9.92,51653,50744,17.6,20
2015,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,1.00,71701,9.04,51144,50204,15.6,10.4
2016,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,1.00,73018,8.98,50902,49958,13.8,10.5
2017,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,1.00,75209,9.68,50004,49134,12.5,17.1
2018,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,1.00,76826,9.71,49830,48957,13.1,17.2
2019,042124,CLINTON,1100,CLINTON TECHNICAL SCH.,1.00,78162,9.71,49928,48641,12.6,26.9
2012,042124,CLINTON,3000,CLINTON MIDDLE,2.00,64466,24.08,41928,40127,15.9,55.3
2013,042124,CLINTON,3000,CLINTON MIDDLE,1.00,72217,25.02,41572,39782,15,46
2014,042124,CLINTON,3000,CLINTON MIDDLE,1.00,72217,26.02,41028,39550,13.9,40.4
2015,042124,CLINTON,3000,CLINTON MIDDLE,2.00,68884,27.06,41512,39978,14.3,35.1
2016,042124,CLINTON,3000,CLINTON MIDDLE,2.00,70201,28.11,40917,39837,12.1,48
2017,042124,CLINTON,3000,CLINTON MIDDLE,2.00,72308,25.61,40817,39821,12.1,56
2018,042124,CLINTON,3000,CLINTON MIDDLE,2.00,74500,25.11,41212,40086,12.3,47.1
2019,042124,CLINTON,3000,CLINTON MIDDLE,2.00,75472,26.99,41883,40616,13.2,54.5
2012,042124,CLINTON,4070,HENRY ELEM.,2.00,65449,35.80,40857,40545,13.9,63.5
2013,042124,CLINTON,4070,HENRY ELEM.,1.00,62466,35.83,40496,40257,13.2,60
2014,042124,CLINTON,4070,HENRY ELEM.,1.00,65293,37.83,40674,40383,12.2,59.5
2015,042124,CLINTON,4070,HENRY ELEM.,2.00,61071,36.83,40706,40409,12,51.6
2016,042124,CLINTON,4070,HENRY ELEM.,2.00,62388,36.83,41112,40811,12.4,55.7
2017,042124,CLINTON,4070,HENRY ELEM.,2.00,64260,32.83,40605,40226,10.9,46.7
2018,042124,CLINTON,4070,HENRY ELEM.,2.00,65642,32.83,40794,40291,10.8,49.7
2019,042124,CLINTON,4070,HENRY ELEM.,1.60,69016,32.33,42673,42141,12.7,59.8
2012,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,68145,24.93,40222,40011,13.4,70.2
2013,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,70181,25.83,41225,40923,14.3,67.8
2014,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,73196,25.83,41972,41674,14.1,71.6
2015,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,74513,23.83,42790,42545,14.7,75.5
2016,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,75830,24.83,43812,43510,15.4,86.6
2017,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,72446,25.83,42899,42602,14.9,78.7
2018,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,74003,24.83,44466,44214,15.8,81.9
2019,042124,CLINTON,4080,CLINTON INTERMEDIATE SCHOOL,1.00,75291,24.33,44903,44706,15.8,83.6
2017,042124,CLINTON,7500,CLINTON EARLY CHILDHOOD CENTER,0.00,0,6.00,40112,40112,12.5,50
2018,042124,CLINTON,7500,CLINTON EARLY CHILDHOOD CENTER,0.00,0,6.00,41622,41622,13.5,50
2019,042124,CLINTON,7500,CLINTON EARLY CHILDHOOD CENTER,0.40,62853,7.00,41636,41636,13.3,42.9
2012,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.15,91533,0.00,0,0,0,0
2013,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.10,91867,0.00,0,0,0,0
2014,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.00,104980,0.00,0,0,0,0
2015,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.00,104980,0.00,0,0,0,0
2016,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.10,106023,0.00,0,0,0,0
2017,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.10,120405,0.00,0,0,0,0
2018,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.00,129159,0.00,0,0,0,0
2019,043001,HICKORY CO. R-I,1000,CENTRAL OFFICE,1.00,136340,0.00,0,0,0,0
2012,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.67,81466,18.17,42419,42419,16.4,45.5
2013,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.67,82981,17.52,42819,42819,17.4,44.6
2014,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.76,80721,18.50,43044,43044,17.7,42.7
2015,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.56,83588,17.24,43190,43190,18.8,45.5
2016,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.56,86095,16.80,43007,43007,17.1,39.9
2017,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.80,84116,16.00,43620,43620,18,36.9
2018,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.72,85801,17.01,44875,44875,17.9,45.3
2019,043001,HICKORY CO. R-I,1050,SKYLINE HIGH,0.72,83131,16.87,45720,39642,16.7,44.9
2012,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,0.34,81791,15.05,39248,39248,15.4,52.8
2013,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,0.34,83312,15.00,38298,38298,15.9,44
2014,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,0.34,83588,13.80,38568,38568,14.1,53.6
2015,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,0.34,83588,15.00,41156,41156,15.3,62.7
2016,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,0.34,86097,14.60,41201,41201,14.5,63
2017,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,1.00,69034,15.50,42615,42615,17,78.1
2018,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,1.00,62497,14.97,43277,43277,18.1,82
2019,043001,HICKORY CO. R-I,3000,SKYLINE MIDDLE,1.00,67626,15.47,44622,40185,16.8,82.5
2012,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,0.85,71798,21.85,36909,36909,14.5,63.8
2013,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,1.00,73234,21.90,37939,37939,15.2,73.1
2014,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,1.00,73966,22.80,38202,38202,15.7,78.5
2015,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,1.00,73966,21.90,38945,38945,16.2,81.7
2016,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,0.90,75444,22.10,39345,39345,16.6,77.4
2017,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,0.90,75444,22.00,40496,40496,16.7,72.7
2018,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,1.00,76954,22.44,40638,40638,17.2,73.3
2019,043001,HICKORY CO. R-I,4020,SKYLINE ELEM.,1.00,78493,22.58,42128,39921,16.9,69
2012,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.00,85725,0.00,0,0,0,0
2013,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.00,88300,0.00,0,0,0,0
2014,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.00,92715,0.00,0,0,0,0
2015,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.00,95500,0.00,0,0,0,0
2016,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.00,98850,0.00,0,0,0,0
2017,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.00,82500,0.00,0,0,0,0
2018,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.05,82890,0.00,0,0,0,0
2019,043002,WHEATLAND R-II,1000,CENTRAL OFFICE,1.05,85314,0.00,0,0,0,0
2012,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,64860,11.84,36724,34163,9.2,49.2
2013,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,66800,11.64,36465,34020,9.1,39.8
2014,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,68136,11.64,37988,35065,10.3,45.5
2015,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,70180,11.64,38771,35271,10.3,45.5
2016,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,72600,11.64,40684,36870,9.6,54.1
2017,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,74778,12.01,42768,37890,9.8,63.9
2018,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,77032,12.01,43438,38463,9.4,61.1
2019,043002,WHEATLAND R-II,1050,WHEATLAND HIGH,1.00,79343,12.01,43913,38800,10.2,58.4
2012,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,73250,13.35,33561,32524,7.8,40.1
2013,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,75450,13.55,34590,33389,8.9,41
2014,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,76959,12.55,33726,32910,7.3,39
2015,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,79200,11.55,34127,33111,6.8,33.7
2016,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,58000,11.55,35102,33771,8.4,25
2017,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,59740,12.18,35504,34224,6.5,28.9
2018,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,58000,13.13,36111,34944,7.2,44.2
2019,043002,WHEATLAND R-II,4020,WHEATLAND ELEM.,1.00,59740,13.13,37383,36116,8.1,46.7
2012,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.00,80000,0.00,0,0,0,0
2013,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.00,80000,0.00,0,0,0,0
2014,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.00,82000,0.00,0,0,0,0
2015,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.10,80523,0.00,0,0,0,0
2016,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.00,85000,0.00,0,0,0,0
2017,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.00,92250,0.00,0,0,0,0
2018,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.00,93250,0.00,0,0,0,0
2019,043003,WEAUBLEAU R-III,1000,CENTRAL OFFICE,1.00,93250,0.00,0,0,0,0
2012,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,0.50,70500,13.49,38238,36636,15.5,62.9
2013,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,0.50,70500,12.33,38979,37355,15.7,67.6
2014,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,0.50,72000,11.24,39745,38295,17.4,65.7
2015,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,0.50,73500,11.17,40181,38579,16.3,65.4
2016,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,1.00,58083,11.80,38803,36010,11.2,59.5
2017,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,1.00,59892,10.92,39731,36701,11.6,66.6
2018,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,1.00,77250,10.91,40184,37788,11.8,67.9
2019,043003,WEAUBLEAU R-III,1050,WEAUBLEAU HIGH,1.00,78000,12.12,40715,38520,14.4,71.1
2012,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,0.50,70500,13.59,37275,36525,15.2,74.2
2013,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,0.50,70500,14.77,38851,38067,17.2,83.1
2014,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,0.50,72000,14.65,39602,38705,18.1,82
2015,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,0.50,73500,15.45,40274,39266,18.8,82.9
2016,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,1.00,58083,16.42,37898,37402,16.6,68.9
2017,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,1.00,59891,15.65,40017,39579,18.1,73
2018,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,1.00,56750,15.78,39472,39012,16.9,65.1
2019,043003,WEAUBLEAU R-III,4040,WEAUBLEAU ELEM.,1.00,59600,14.14,39794,39300,17.4,61.1
2012,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,95500,0.00,0,0,0,0
2013,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,95500,0.00,0,0,0,0
2014,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,84018,0.00,0,0,0,0
2015,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,90000,0.00,0,0,0,0
2016,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,90000,0.00,0,0,0,0
2017,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,94000,0.00,0,0,0,0
2018,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,96000,0.00,0,0,0,0
2019,043004,HERMITAGE R-IV,1000,CENTRAL OFFICE,1.00,98000,0.00,0,0,0,0
2012,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.60,73730,7.98,38038,37099,15.7,34.3
2013,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.25,73732,8.51,38561,37141,13.4,38.3
2014,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.33,60306,8.24,38192,36869,13.3,34.8
2015,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.33,62000,8.18,39164,38071,13.8,33.6
2016,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.33,64000,8.17,40161,38552,13.2,47.2
2017,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.33,66000,8.26,40291,38647,14.2,39.5
2018,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.33,67500,8.08,39964,38407,15,40.3
2019,043004,HERMITAGE R-IV,1050,HERMITAGE HIGH,0.33,69000,7.57,40302,38701,14.8,36.5
2012,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.40,73730,4.64,38391,37219,14.7,78.2
2013,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.25,73728,4.49,38277,36443,12.1,77.7
2014,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.33,60309,4.22,38294,36401,12.5,79.4
2015,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.33,62000,4.18,39333,37483,13.5,77.8
2016,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.33,64000,4.19,40558,37848,12.9,74.9
2017,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.33,66000,3.61,40255,37711,12.7,62
2018,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.33,67500,3.66,39988,38754,10.6,33.9
2019,043004,HERMITAGE R-IV,3000,HERMITAGE MIDDLE,0.33,69000,3.67,39102,37966,11.1,33.8
2012,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,1.00,71730,12.88,35156,34918,9.5,34
2013,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,0.74,63703,12.39,36192,34919,10.4,31.4
2014,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,0.34,60312,10.89,36145,34357,10.1,27.5
2015,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,0.34,62000,10.89,36897,35196,11.1,27.5
2016,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,0.34,64000,11.67,36874,35464,10.9,24.9
2017,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,0.84,52243,12.16,36173,35093,8.1,15.6
2018,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,0.84,53313,12.26,38483,37357,12.1,28.5
2019,043004,HERMITAGE R-IV,4020,HERMITAGE ELEM.,1.04,52506,12.46,37656,35928,11.9,21.7
2012,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,73885,0.00,0,0,0,0
2013,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,77210,0.00,0,0,0,0
2014,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,80298,0.00,0,0,0,0
2015,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,83911,0.00,0,0,0,0
2016,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,88107,0.00,0,0,0,0
2017,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,91631,0.00,0,0,0,0
2018,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,95296,0.00,0,0,0,0
2019,044078,CRAIG R-III,1000,CENTRAL OFFICE,1.00,99108,0.00,0,0,0,0
2012,044078,CRAIG R-III,1050,CRAIG HIGH,0.40,54000,8.51,33264,31945,9.3,32
2013,044078,CRAIG R-III,1050,CRAIG HIGH,0.50,54000,8.27,32891,31578,7.5,26.1
2014,044078,CRAIG R-III,1050,CRAIG HIGH,0.50,56160,8.27,33558,32110,6.8,10
2015,044078,CRAIG R-III,1050,CRAIG HIGH,0.50,58688,8.27,34056,33362,7.7,10
2016,044078,CRAIG R-III,1050,CRAIG HIGH,0.50,61622,8.27,35395,34659,8.9,10
2017,044078,CRAIG R-III,1050,CRAIG HIGH,0.50,57000,7.69,35812,35448,5.6,23.8
2018,044078,CRAIG R-III,1050,CRAIG HIGH,0.47,59281,7.41,38332,38009,10,25.5
2019,044078,CRAIG R-III,1050,CRAIG HIGH,0.47,61651,8.09,39735,39623,13.8,26.3
2012,044078,CRAIG R-III,4020,CRAIG ELEM.,0.40,54000,6.45,33017,32512,15.5,20.3
2013,044078,CRAIG R-III,4020,CRAIG ELEM.,0.50,54000,6.49,34721,34253,16.9,25.7
2014,044078,CRAIG R-III,4020,CRAIG ELEM.,0.50,56160,6.49,35415,34923,16.7,15.4
2015,044078,CRAIG R-III,4020,CRAIG ELEM.,0.50,58688,6.09,35505,35346,16.3,16.4
2016,044078,CRAIG R-III,4020,CRAIG ELEM.,0.50,61622,6.69,33325,33217,4.8,14.9
2017,044078,CRAIG R-III,4020,CRAIG ELEM.,0.50,57000,6.72,34149,34019,5.3,14.9
2018,044078,CRAIG R-III,4020,CRAIG ELEM.,0.47,59281,6.69,36008,35843,6.9,14.9
2019,044078,CRAIG R-III,4020,CRAIG ELEM.,0.47,61651,6.45,36285,36220,5.2,0
2012,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,92996,0.00,0,0,0,0
2013,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,94865,0.00,0,0,0,0
2014,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,93591,0.00,0,0,0,0
2015,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,96534,0.00,0,0,0,0
2016,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,99198,0.00,0,0,0,0
2017,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,102174,0.00,0,0,0,0
2018,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,110174,0.00,0,0,0,0
2019,044083,MOUND CITY R-II,1000,CENTRAL OFFICE,1.00,118174,0.00,0,0,0,0
2012,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,0.75,61331,9.89,38566,35416,13.4,26.2
2013,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,1.00,49987,9.04,39635,36547,15.2,27.7
2014,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,1.00,49427,8.35,40317,37196,15.2,42.9
2015,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,1.00,50786,8.23,41539,38170,16.7,31.3
2016,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,1.00,61797,8.29,42427,38916,17.6,30.4
2017,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,1.00,63651,8.65,43291,39805,17.5,33.8
2018,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,1.00,66197,8.65,44149,40493,15.7,33.8
2019,044083,MOUND CITY R-II,1050,MOUND CITY HIGH,0.75,74175,8.80,43826,40220,14.8,46.4
2012,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.50,65354,4.79,36153,33544,9.2,35.5
2013,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.25,75844,5.43,37184,35085,11,50.1
2014,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.25,76012,6.22,36481,34367,9.5,23.8
2015,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.25,80064,5.56,38346,36285,11.4,28.1
2016,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.25,82188,6.42,39137,36824,11.5,26.2
2017,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.25,60476,6.24,38857,36442,9.5,14.4
2018,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.25,62864,5.54,40060,37534,9.8,15.2
2019,044083,MOUND CITY R-II,3000,MOUND CITY MIDDLE,0.50,69798,5.08,41607,39036,11,36.2
2012,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,69379,10.58,36698,36341,11.9,75.3
2013,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,75843,9.76,37786,37138,13.9,61.9
2014,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,76012,9.33,39404,38586,15.6,65.4
2015,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,80063,9.11,40849,40055,17.1,66.1
2016,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,82188,9.25,41153,40564,17.1,65.1
2017,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,60479,9.21,41981,41364,15.6,69.5
2018,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,62864,9.27,42935,42043,15.1,64.3
2019,044083,MOUND CITY R-II,4020,MOUND CITY ELEM.,0.75,65423,9.49,43355,42259,15.1,60.3
2012,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,84198,0.00,0,0,0,0
2013,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,86135,0.00,0,0,0,0
2014,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,93982,0.00,0,0,0,0
2015,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,95617,0.00,0,0,0,0
2016,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,97529,0.00,0,0,0,0
2017,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,100211,0.00,0,0,0,0
2018,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,101794,0.00,0,0,0,0
2019,044084,SOUTH HOLT CO. R-I,1000,CENTRAL OFFICE,1.00,104644,0.00,0,0,0,0
2012,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,63553,14.30,37146,34986,13.9,60.7
2013,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,65015,14.30,37105,35082,13.5,53.7
2014,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,71633,13.80,39209,36359,13.1,44.8
2015,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,72947,13.43,39772,36891,13.2,43.8
2016,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,60000,12.81,40695,38082,14.5,41.1
2017,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,61650,14.01,40496,37644,12.7,42
2018,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,62624,13.95,41634,38339,12.3,42.2
2019,044084,SOUTH HOLT CO. R-I,1050,SOUTH HOLT HIGH,1.00,65000,13.03,44502,39980,15.2,42.8
2012,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,60904,13.60,35387,34612,14.5,52.7
2013,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,62305,14.18,35925,35273,14.6,57.6
2014,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,68779,14.18,36313,35432,11.3,54.1
2015,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,69976,12.48,37821,36577,12.9,63.9
2016,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,71083,14.10,37639,37120,12.5,68
2017,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,73038,17.48,37115,36561,10.7,45.6
2018,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,74192,17.48,38176,37496,11.6,45.6
2019,044084,SOUTH HOLT CO. R-I,4020,SOUTH HOLT ELEM.,1.00,76269,17.57,38594,37949,11.4,46.2
2012,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,1.00,81200,0.00,0,0,0,0
2013,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,1.00,83636,0.00,0,0,0,0
2014,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,1.00,87234,0.00,0,0,0,0
2015,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,0.85,90299,0.00,0,0,0,0
2016,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,1.00,92680,0.00,0,0,0,0
2017,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,1.00,95228,0.00,0,0,0,0
2018,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,1.00,98561,0.00,0,0,0,0
2019,045076,NEW FRANKLIN R-I,1000,CENTRAL OFFICE,1.00,93000,0.00,0,0,0,0
2012,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High ,1.00,60363,19.85,35210,32899,10.1,62.1
2013,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High ,1.00,62213,19.98,35985,33672,11.1,67.3
2014,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High ,1.00,63006,19.85,36954,34362,11.1,72.1
2015,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High ,1.00,66775,20.00,38269,35543,12.1,72.4
2016,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High,1.00,69039,19.66,39031,36066,12.8,67
2017,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High,1.00,70937,19.68,39457,36343,11.8,57.2
2018,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High,1.00,73420,19.65,40418,37041,11.6,57.1
2019,045076,NEW FRANKLIN R-I,1050,New Franklin Middle-High,1.00,76724,20.76,41868,38721,12.5,64.2
2012,045076,NEW FRANKLIN R-I,4020,New Franklin Elementary,1.00,54488,18.73,34412,34111,12.3,44.1
2013,045076,NEW FRANKLIN R-I,4020,New Franklin Elementary,1.00,56086,18.73,34720,34414,12.3,44.1
